,User_Id,Place_Id,Place_Ratings
0,1,179,3.0
1,1,344,2.0
2,1,5,5.0
3,1,373,3.0
4,1,101,4.0
5,1,312,2.0
6,1,258,5.0
7,1,20,4.0
8,1,154,2.0
9,1,393,5.0
10,1,103,3.0
11,1,208,5.0
12,1,89,3.0
13,1,405,5.0
14,1,41,5.0
15,1,336,4.0
16,1,67,4.0
17,1,292,3.0
18,1,222,3.0
19,1,76,2.0
20,1,428,3.0
21,1,15,3.0
22,1,246,4.0
23,1,265,5.0
24,1,21,2.0
25,1,328,2.0
26,1,307,4.0
27,1,302,2.0
28,1,48,2.0
29,1,328,2.0
30,2,147,2.0
31,2,2,5.0
32,2,322,4.0
33,2,23,3.0
34,2,85,4.0
35,2,371,3.0
36,2,78,5.0
37,2,111,2.0
38,2,107,2.0
39,2,185,2.0
40,2,413,3.0
41,2,389,2.0
42,2,437,5.0
43,2,105,2.0
44,2,176,3.0
45,2,407,5.0
46,2,208,5.0
47,2,437,4.0
48,2,208,3.0
49,2,281,2.0
50,2,167,2.0
51,2,384,5.0
52,2,426,4.0
53,2,390,2.0
54,2,367,2.0
55,2,166,2.0
56,2,18,5.0
57,2,321,3.0
58,2,262,3.0
59,3,223,5.0
60,3,17,5.0
61,3,319,5.0
62,3,310,3.0
63,3,421,3.0
64,3,202,5.0
65,3,48,2.0
66,3,283,3.0
67,3,202,3.0
68,3,250,2.0
69,3,118,2.0
70,3,54,2.0
71,3,70,3.0
72,3,33,4.0
73,3,227,2.0
74,3,86,4.0
75,3,105,5.0
76,3,249,3.0
77,3,131,4.0
78,3,382,2.0
79,3,193,2.0
80,3,176,2.0
81,3,104,3.0
82,3,24,4.0
83,3,128,5.0
84,3,134,3.0
85,3,228,3.0
86,3,237,3.0
87,3,100,4.0
88,3,198,5.0
89,4,50,2.0
90,4,376,2.0
91,4,268,4.0
92,4,242,4.0
93,4,82,3.0
94,4,348,5.0
95,4,409,3.0
96,4,88,3.0
97,4,4,4.0
98,4,377,3.0
99,4,43,5.0
100,4,15,4.0
101,4,91,3.0
102,4,193,5.0
103,4,312,3.0
104,4,44,2.0
105,4,14,5.0
106,4,406,3.0
107,4,383,2.0
108,4,229,2.0
109,4,290,3.0
110,4,5,5.0
111,4,294,5.0
112,4,309,5.0
113,4,74,2.0
114,4,97,2.0
115,5,421,4.0
116,5,138,2.0
117,5,436,5.0
118,5,395,2.0
119,5,300,4.0
120,5,321,3.0
121,5,68,5.0
122,5,55,5.0
123,5,434,4.0
124,5,9,5.0
125,5,166,3.0
126,5,151,5.0
127,5,4,3.0
128,5,61,3.0
129,5,321,3.0
130,5,159,2.0
131,5,397,5.0
132,5,391,2.0
133,5,407,3.0
134,5,301,2.0
135,5,143,4.0
136,5,27,2.0
137,5,283,4.0
138,5,190,2.0
139,5,346,4.0
140,5,67,4.0
141,5,381,3.0
142,5,368,3.0
143,5,433,4.0
144,5,301,2.0
145,5,420,3.0
146,5,335,3.0
147,5,115,3.0
148,6,433,4.0
149,6,334,2.0
150,6,348,2.0
151,6,219,2.0
152,6,178,3.0
153,6,266,3.0
154,6,92,2.0
155,6,64,5.0
156,6,102,4.0
157,6,166,5.0
158,6,257,2.0
159,6,243,5.0
160,6,346,5.0
161,6,116,5.0
162,6,359,2.0
163,6,121,4.0
164,6,385,4.0
165,6,398,5.0
166,6,64,5.0
167,6,88,5.0
168,6,119,2.0
169,6,393,2.0
170,6,4,4.0
171,6,298,3.0
172,6,410,2.0
173,6,224,5.0
174,6,379,4.0
175,6,382,2.0
176,7,255,5.0
177,7,269,3.0
178,7,213,3.0
179,7,228,3.0
180,7,126,5.0
181,7,192,5.0
182,7,376,4.0
183,7,183,5.0
184,7,129,4.0
185,7,303,4.0
186,7,296,3.0
187,7,213,3.0
188,7,237,5.0
189,7,99,4.0
190,7,88,4.0
191,7,148,3.0
192,7,13,2.0
193,7,377,5.0
194,7,183,4.0
195,7,247,4.0
196,7,31,3.0
197,7,298,4.0
198,7,290,4.0
199,7,385,5.0
200,7,77,5.0
201,7,107,2.0
202,7,77,3.0
203,8,158,5.0
204,8,301,3.0
205,8,290,2.0
206,8,322,5.0
207,8,306,4.0
208,8,98,5.0
209,8,235,4.0
210,8,45,2.0
211,8,173,3.0
212,8,306,2.0
213,8,393,5.0
214,8,395,5.0
215,8,89,3.0
216,8,433,4.0
217,8,143,5.0
218,8,275,3.0
219,8,25,5.0
220,8,98,2.0
221,8,130,3.0
222,8,223,5.0
223,8,368,2.0
224,8,164,5.0
225,8,267,4.0
226,8,202,3.0
227,8,56,2.0
228,8,30,3.0
229,8,238,3.0
230,8,294,4.0
231,9,402,3.0
232,9,196,4.0
233,9,406,4.0
234,9,55,4.0
235,9,30,3.0
236,9,246,5.0
237,9,402,3.0
238,9,30,2.0
239,9,310,4.0
240,9,417,4.0
241,9,304,4.0
242,9,206,3.0
243,9,211,3.0
244,9,28,5.0
245,9,264,3.0
246,9,242,3.0
247,9,403,3.0
248,9,253,4.0
249,9,265,4.0
250,9,331,4.0
251,9,188,4.0
252,9,54,3.0
253,9,420,5.0
254,9,416,4.0
255,9,378,5.0
256,9,233,4.0
257,9,95,5.0
258,9,105,2.0
259,9,233,5.0
260,9,204,2.0
261,9,225,5.0
262,9,204,2.0
263,9,341,5.0
264,10,145,3.0
265,10,36,4.0
266,10,168,5.0
267,10,12,2.0
268,10,134,5.0
269,10,280,4.0
270,10,236,4.0
271,10,95,5.0
272,10,344,3.0
273,10,18,5.0
274,10,42,3.0
275,10,90,5.0
276,10,280,5.0
277,10,75,4.0
278,10,63,5.0
279,10,205,5.0
280,10,268,3.0
281,10,234,3.0
282,10,284,3.0
283,10,405,3.0
284,10,230,4.0
285,10,197,3.0
286,10,339,3.0
287,10,159,2.0
288,10,77,2.0
289,10,23,2.0
290,10,67,5.0
291,10,35,4.0
292,11,229,2.0
293,11,226,2.0
294,11,310,3.0
295,11,430,3.0
296,11,107,3.0
297,11,37,5.0
298,11,322,5.0
299,11,109,2.0
300,11,341,4.0
301,11,206,2.0
302,11,97,4.0
303,11,41,3.0
304,11,355,4.0
305,11,82,2.0
306,11,376,4.0
307,11,406,4.0
308,11,186,4.0
309,11,88,3.0
310,11,378,2.0
311,11,151,5.0
312,11,149,2.0
313,11,6,5.0
314,11,150,2.0
315,11,11,3.0
316,11,127,3.0
317,11,6,2.0
318,11,5,5.0
319,11,236,2.0
320,12,429,3.0
321,12,194,3.0
322,12,27,2.0
323,12,236,3.0
324,12,49,5.0
325,12,369,5.0
326,12,94,5.0
327,12,226,4.0
328,12,274,4.0
329,12,72,5.0
330,12,183,5.0
331,12,265,4.0
332,12,301,5.0
333,12,46,4.0
334,12,65,2.0
335,12,203,5.0
336,12,379,4.0
337,12,139,4.0
338,12,5,5.0
339,12,141,2.0
340,12,312,5.0
341,12,154,5.0
342,12,71,5.0
343,12,302,3.0
344,12,75,5.0
345,12,30,5.0
346,12,52,3.0
347,12,27,3.0
348,12,102,5.0
349,12,128,2.0
350,12,293,5.0
351,12,82,4.0
352,12,402,3.0
353,12,98,2.0
354,13,398,2.0
355,13,65,2.0
356,13,398,2.0
357,13,371,5.0
358,13,422,4.0
359,13,214,5.0
360,13,20,2.0
361,13,114,5.0
362,13,229,2.0
363,13,56,5.0
364,13,265,4.0
365,13,129,4.0
366,13,75,5.0
367,13,296,2.0
368,13,191,2.0
369,13,156,3.0
370,13,177,2.0
371,13,437,5.0
372,13,406,2.0
373,13,290,2.0
374,13,163,4.0
375,13,242,3.0
376,13,178,2.0
377,13,142,5.0
378,13,245,4.0
379,14,67,5.0
380,14,325,3.0
381,14,422,4.0
382,14,88,2.0
383,14,118,4.0
384,14,344,2.0
385,14,227,4.0
386,14,259,5.0
387,14,376,5.0
388,14,368,3.0
389,14,396,2.0
390,14,167,3.0
391,14,11,2.0
392,14,230,5.0
393,14,54,2.0
394,14,304,3.0
395,14,249,5.0
396,14,96,2.0
397,14,50,2.0
398,14,8,4.0
399,14,233,3.0
400,14,362,2.0
401,14,173,5.0
402,14,435,5.0
403,14,167,4.0
404,14,294,2.0
405,14,59,3.0
406,14,274,4.0
407,14,186,4.0
408,14,91,5.0
409,14,328,5.0
410,14,371,4.0
411,14,171,3.0
412,15,298,3.0
413,15,277,3.0
414,15,90,5.0
415,15,342,5.0
416,15,435,3.0
417,15,348,2.0
418,15,23,5.0
419,15,365,5.0
420,15,340,3.0
421,15,260,5.0
422,15,369,4.0
423,15,187,4.0
424,15,74,3.0
425,15,297,4.0
426,15,21,2.0
427,15,95,3.0
428,15,367,5.0
429,15,207,4.0
430,15,284,2.0
431,15,321,2.0
432,15,248,2.0
433,15,153,5.0
434,15,248,4.0
435,15,355,5.0
436,15,27,3.0
437,15,239,3.0
438,15,434,2.0
439,15,9,4.0
440,15,360,3.0
441,15,275,2.0
442,15,142,2.0
443,15,119,4.0
444,15,219,2.0
445,15,417,3.0
446,15,170,3.0
447,15,357,3.0
448,16,264,2.0
449,16,68,2.0
450,16,292,2.0
451,16,89,3.0
452,16,203,4.0
453,16,73,2.0
454,16,201,3.0
455,16,252,2.0
456,16,434,3.0
457,16,275,4.0
458,16,150,4.0
459,16,414,5.0
460,16,67,4.0
461,16,385,2.0
462,16,359,5.0
463,16,266,4.0
464,16,30,4.0
465,16,390,2.0
466,16,322,5.0
467,16,413,4.0
468,16,121,3.0
469,16,237,4.0
470,16,384,4.0
471,16,132,5.0
472,16,26,2.0
473,16,347,3.0
474,16,121,4.0
475,16,167,3.0
476,16,270,5.0
477,17,16,4.0
478,17,339,2.0
479,17,406,5.0
480,17,267,5.0
481,17,384,5.0
482,17,371,4.0
483,17,19,2.0
484,17,318,5.0
485,17,104,4.0
486,17,37,2.0
487,17,256,4.0
488,17,11,3.0
489,17,134,4.0
490,17,181,2.0
491,17,236,3.0
492,17,98,5.0
493,17,199,3.0
494,17,410,4.0
495,17,33,5.0
496,17,237,3.0
497,17,265,4.0
498,17,78,4.0
499,17,154,5.0
500,17,173,5.0
501,17,414,4.0
502,17,288,4.0
503,17,330,3.0
504,17,3,2.0
505,17,47,4.0
506,17,2,3.0
507,17,145,3.0
508,17,27,4.0
509,17,32,2.0
510,17,70,2.0
511,17,308,2.0
512,17,210,4.0
513,17,92,3.0
514,17,398,3.0
515,17,279,4.0
516,17,398,4.0
517,17,321,3.0
518,17,262,2.0
519,17,307,3.0
520,17,289,4.0
521,17,346,2.0
522,17,371,3.0
523,18,102,3.0
524,18,332,2.0
525,18,80,5.0
526,18,49,4.0
527,18,375,3.0
528,18,71,4.0
529,18,182,5.0
530,18,54,4.0
531,18,176,5.0
532,18,197,2.0
533,18,151,5.0
534,18,260,4.0
535,18,405,5.0
536,18,8,3.0
537,18,88,3.0
538,18,50,4.0
539,18,412,2.0
540,18,147,4.0
541,18,101,5.0
542,18,357,4.0
543,18,272,3.0
544,18,413,2.0
545,18,185,3.0
546,18,80,5.0
547,18,426,2.0
548,18,245,4.0
549,18,46,4.0
550,18,184,3.0
551,18,201,5.0
552,18,113,2.0
553,18,111,4.0
554,18,399,3.0
555,18,235,5.0
556,18,261,2.0
557,19,194,5.0
558,19,228,2.0
559,19,417,3.0
560,19,205,3.0
561,19,112,3.0
562,19,42,2.0
563,19,168,3.0
564,19,327,4.0
565,19,395,2.0
566,19,418,4.0
