Place_Id,Place_Name,Description,Category,City,Price,Rating,Link,Address
1,Monumen Nasional,"Monumen Nasional atau yang populer disingkat dengan Monas atau Tugu Monas adalah monumen peringatan setinggi 132 meter (433 kaki) yang didirikan untuk mengenang perlawanan dan perjuangan rakyat Indonesia untuk merebut kemerdekaan dari pemerintahan kolonial Hindia Belanda. Pembangunan monumen ini dimulai pada tanggal 17 Agustus 1961 di bawah perintah presiden Soekarno dan dibuka untuk umum pada tanggal 12 Juli 1975. Tugu ini dimahkotai lidah api yang dilapisi lembaran emas yang melambangkan semangat perjuangan yang menyala-nyala. Monumen Nasional terletak tepat di tengah Lapangan Medan Merdeka, Jakarta Pusat.",Sejarah,Jakarta,20000,46,"https://www.google.com/maps/place/Monumen+Nasional/@-6.1753924,106.8245779,17z/data=!4m6!3m5!1s0x2e69f5d2e764b12d:0x3d2ad6e1e0e9bcc8!8m2!3d-6.1753924!4d106.8271528!16zL20vMDNxN2hz?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D",
2,Kota Tua,"Kota tua di Jakarta, yang juga bernama Kota Tua, berpusat di Alun-Alun Fatahillah, yaitu alun-alun yang ramai dengan pertunjukan rutin tarian tradisional. Museum Sejarah Jakarta adalah bangunan era Belanda dengan lukisan dan barang antik, sedangkan Museum Wayang memamerkan boneka kayu khas Jawa. Desa Glodok, atau Chinatown, terkenal dengan makanan kaki lima, seperti pangsit dan mi goreng. Di dekatnya, terdapat sekunar dan kapal penangkap ikan di pelabuhan Sunda Kelapa yang kuno",Budaya,Jakarta,0,46,"https://www.google.com/maps/place/Kota+Tua,+Mangga+Besar,+Kec.+Taman+Sari,+Kota+Jakarta+Barat,+Daerah+Khusus+Ibukota+Jakarta/@-6.1311205,106.7985584,13z/data=!3m1!4b1!4m6!3m5!1s0x2e69f607534bb7c7:0x42eab7e4f2537065!8m2!3d-6.1349691!4d106.8319677!16s%2Fg%2F11hbt7c3rq?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D",
3,Dunia Fantasi,"Dunia Fantasi atau disebut juga Dufan adalah tempat hiburan yang terletak di kawasan Taman Impian Jaya Ancol, Jakarta Utara, Indonesia. Dufan diresmikan dan dibuka pada tanggal 29 Agustus 1985.",Taman Hiburan,Jakarta,270000,46,"https://www.google.com/maps/place/Dunia+Fantasi/@-6.1253124,106.8309628,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a1e1a80420c57:0x275b93253d2232e3!8m2!3d-6.1253124!4d106.8335377!16s%2Fm%2F0b65fpr?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D",
4,Taman Mini Indonesia Indah (TMII),"Taman Mini Indonesia Indah merupakan suatu kawasan taman wisata bertema budaya Indonesia di Jakarta Timur. Area seluas kurang lebih 150 hektare atau 1,5 kilometer persegi ini terletak pada koordinat 6°18′6.8″LS,106°53′47.2″BT",Taman Hiburan,Jakarta,10000,45,"https://www.google.com/maps/place/Taman+Mini+Indonesia+Indah/@-6.3020386,106.8873175,17z/data=!4m6!3m5!1s0x2e69ed50d076a261:0x73127b9ecf2da0c!8m2!3d-6.3020386!4d106.8898924!16zL20vMDhiaHFr?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D",
5,Atlantis Water Adventure,"Atlantis Water Adventure atau dikenal dengan Atlantis Ancol akan menyuguhkan petualangan wisata air tak terlupakan. Tempat Wisata bertemakan permainan air dengan luas 5 hektar ini memberi sensasi petualangan di 8 kolam utama. Yaitu kolam Antila, Plaza Atlas, Poseidon, Aquarius, Octopus, Kiddy Pool, dan Atlantean. Berlokasi di kawasan Ancol Jakarta Baycity, Atlantis bisa menjadi pilihan destinasi yang pas untuk wisata berenang.",Wahana Air,Jakarta,94000,45,"https://www.google.com/maps/place/Atlantis+Water+Adventures+Ancol/@-6.12419,106.8365591,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a1e24afedbf49:0x2210b053f8603a6b!8m2!3d-6.12419!4d106.839134!16s%2Fg%2F11b6czc4_q?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D",
6,Taman Impian Jaya Ancol,Taman Impian Jaya Ancol merupakan sebuah objek wisata di Jakarta Utara.\n\n,Taman Hiburan,Jakarta,25000,45,"https://www.google.com/maps/place/Taman+Impian+Jaya+Ancol/@-6.1252747,106.8155325,15z/data=!4m10!1m2!2m1!1sTaman+Impian+Jaya+Ancol!3m6!1s0x2e69f47477efd771:0x85206a9cc2c15358!8m2!3d-6.1252747!4d106.8335569!15sChdUYW1hbiBJbXBpYW4gSmF5YSBBbmNvbFoZIhd0YW1hbiBpbXBpYW4gamF5YSBhbmNvbJIBEXJlY3JlYXRpb25fY2VudGVy4AEA!16zL20vMDg5OWR6?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D",
7,Taman Margasatwa Ragunan,"Kebun Binatang Ragunan adalah sebuah kebun binatang yang terletak di daerah Ragunan, Pasar Minggu, Jakarta Selatan, Indonesia. Kebun binatang seluas 140 hektare ini didirikan pada tahun 1864. Di dalamnya terdapat berbagai koleksi yang terdiri dari 295 spesies dan 4040 spesimen.\nRagunan sempat ditutup selama sekitar tiga minggu sejak 19 September 2005 karena hewan-hewan di dalamnya ada yang terinfeksi flu burung, tetapi dibuka kembali pada 11 Oktober 2005.Kebun binatang ini memiliki banyak spesies hewan yang langka antara lain kakatua, orangutan, gorila, anoa dan gajah",Alam,Jakarta,4000,45,"https://www.google.com/maps/place/Taman+Margasatwa+Ragunan/@-6.3059887,106.8113408,16z/data=!4m10!1m2!2m1!1sKebun+Binatang+Ragunan!3m6!1s0x2e69edfdb17f7b7d:0xf9dd2a3f5ab5069a!8m2!3d-6.3059887!4d106.820353!15sChZLZWJ1biBCaW5hdGFuZyBSYWd1bmFuWhgiFmtlYnVuIGJpbmF0YW5nIHJhZ3VuYW6SAQN6b2_gAQA!16zL20vMDdfZmRo?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D",
8,Ocean Ecopark,"Ocean Ecopark Salah satu zona rekreasi Ancol yang menawarkan ruang terbuka hijau serta pengalaman dan tidak melupakan sisi pendidikan bagi para pengunjung. Beragam aktivitas dan wahana seru yang bisa dimainkan di tempat rekreasi keluarga, beberapa diantaranya : Outbondholic, Rumah Energy, Rumah Lebah, Kano, Paintball, Outbondholic, Eco-Market, Learning Farm, Eco-Bike, Faunaland. Kalau berencana berwisata ke Ocean Eco Park ancol tidak perlu khawatir dengan harga tiket masuknya. Karena harga tiket masuk Ocean Eco Park ditawarkan dengan harga yang masih terjangkau.",Taman Hiburan,Jakarta,180000,40,"https://www.google.com/maps/place/Allianz+Eco+Park/@-6.1257185,106.8337811,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a1e1a241e3a9d:0x9ecf31ac76753a1a!8m2!3d-6.1257185!4d106.836356!16s%2Fg%2F11bc7twhcf?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D",
9,Pelabuhan Marina,"Pelabuhan Marina Ancol berada di kawasan Taman Impian Jaya Ancol, Jakarta. Pelabuhan yang biasa disebut Dermaga Marina Ancol ini adalah kawasan yang tidak hanya untuk keperluan penyeberangan saja, tetapi juga dikembangkan untuk banyak hal, seperti wisata air, olahraga air maupun wahana bermain. Fungsi utama dari pelabuhan ini adalah untuk melayani para penumpang yang ingin menyeberang menuju ke kepulauan Seribu, begitu juga sebaliknya. Banyak orang yang berada di Jakarta dan sekitarnya, menjadikan kepulaun Seribu sebagai tujuan wisata yang utama. Liburan di Pulau Seribu memang mampu menghilangkan kepenatan bekerja di kota metropolitan, sembari menikmati keindahan pantai yang masih terjaga dengan baik. Marina Ancol berada di Jakarta Utara atau secara lengkap beralamat di Kota Tua, Ancol, Pademangan, Kota Jakarta. Sangat mudah menuju ke tempat ini karena tidak terlalu jauh dari pusat kota. Selain itu, ada banyak transportasi umum yang menuju ke tempat ini atau bisa juga menggunakan jasa transportasi online.",Bahari,Jakarta,175000,44,"https://www.google.com/maps/place/Dermaga+16+Marina+Ancol/@-6.1208337,106.8113936,15z/data=!4m10!1m2!2m1!1sPelabuhan+Marina!3m6!1s0x2e6a1e19d81fe1d5:0x7cdd85c8d3fe837b!8m2!3d-6.1208337!4d106.829418!15sChBQZWxhYnVoYW4gTWFyaW5hWhIiEHBlbGFidWhhbiBtYXJpbmGSAQZtYXJpbmHgAQA!16s%2Fg%2F11c44wmr_n?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D",
10,Pulau Tidung,"Pulau Tidung adalah salah satu kelurahan di kecamatan Kepulauan Seribu Selatan, Kabupaten Kepulauan Seribu, Jakarta, Indonesia.",Bahari,Jakarta,150000,45,"https://www.google.com/maps/place/Pulau+Tidung,+Kec.+Kepulauan+Seribu+Sel.,+Kab.+Administrasi+Kepulauan+Seribu,+Daerah+Khusus+Ibukota+Jakarta/@-5.808027,106.4768929,13z/data=!3m1!4b1!4m6!3m5!1s0x2e41dfef46f7acb3:0xc22d0e04b6c5b362!8m2!3d-5.8032053!4d106.5237907!16s%2Fg%2F122fjyzd?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjMzSAFQAw%3D%3D",
