place,link,rating,city,category,fee,alamat,deskripsi
Kampung Batik Gedong Semarang,https://www.google.com/maps/place/Kampung+Batik+Gedong+Semarang/data=!4m7!3m6!1s0x2e70f356bb103405:0x5be6eccb461174cf!8m2!3d-6.9688821!4d110.4318692!16s%2Fg%2F11c31rw21m!19sChIJBTQQu1bzcC4Rz3QRRsvs5ls?authuser=0&hl=id&rclk=1,"4,40",Semarang,Budaya,0,"Jl. Batik No.698A, Rejomulyo, Kec. Semarang Tim., Kota Semarang, Jawa Tengah 50227",Kampung Batik Gedong Semarang adalah destinasi wisata budaya yang menampilkan kerajinan batik khas Semarang. Pengunjung dapat melihat proses pembuatan batik secara langsung dan membeli berbagai produk batik sebagai oleh-oleh.
Grand Maerakaca Taman Mini Jawa Tengah,https://www.google.com/maps/place/Grand+Maerakaca+Taman+Mini+Jawa+Tengah/data=!4m7!3m6!1s0x2e70f4d1d1aea6e7:0xf936da89553247a2!8m2!3d-6.9605225!4d110.3863941!16s%2Fg%2F11gbfbv2hf!19sChIJ56au0dH0cC4RokcyVYnaNvk?authuser=0&hl=id&rclk=1,"4,40",Semarang,"Edukasi, Anak",2000,"Jl. Anjasmoro Raya, Tawangsari, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50144","Grand Maerakaca merupakan taman miniatur yang menampilkan anjungan dari 35 kabupaten/kota di Jawa Tengah. Selain itu, terdapat wahana perahu untuk mengelilingi area mangrove."
Kampung Pelangi,https://www.google.com/maps/place/Kampung+Pelangi/data=!4m7!3m6!1s0x2e708c54eb15a0a5:0x21051fe4e22e41db!8m2!3d-6.9888812!4d110.4083781!16s%2Fg%2F11d_7t6f20!19sChIJpaAV61SMcC4R20Eu4uQfBSE?authuser=0&hl=id&rclk=1,"4,30",Semarang,Budaya,0,"Jl. DR. Sutomo No.89, Randusari, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50244","Kampung Pelangi adalah kawasan permukiman yang dicat dengan warna-warni cerah, menjadikannya destinasi wisata fotografi yang populer di Semarang."
Brown Canyon,https://www.google.com/maps/place/Brown+Canyon/data=!4m7!3m6!1s0x2e708e7e1d16e6c7:0x38cd451e8fbddbc4!8m2!3d-7.0565164!4d110.4862531!16s%2Fg%2F11css5ykx5!19sChIJx-YWHX6OcC4RxNu9jx5FzTg?authuser=0&hl=id&rclk=1,"4,20",Semarang,Alam,0,"Rowosari, Kec. Tembalang, Kota Semarang, Jawa Tengah 50279","Brown Canyon adalah bekas area penambangan yang kini menjadi destinasi wisata alam dengan tebing-tebing eksotis, sering dijuluki sebagai 'Grand Canyon'-nya Semarang."
Pantai Marina,https://www.google.com/maps/place/Pantai+Marina/data=!4m7!3m6!1s0x2e70f4e56e4f8ea1:0xcf2bee72d0606dd0!8m2!3d-6.948877!4d110.3893285!16s%2Fg%2F11bz4tntzg!19sChIJoY5PbuX0cC4R0G1g0HLuK88?authuser=0&hl=id&rclk=1,"4,20",Semarang,Pantai,10000,"Jl. Yos Sudarso, Kompleks PRPP, Tawangsari, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50144",Pantai Marina menawarkan pemandangan pantai yang indah dengan fasilitas rekreasi seperti jogging track dan area bermain anak.
SAM POO KONG,https://www.google.com/maps/place/SAM+POO+KONG/data=!4m7!3m6!1s0x2e708b46faaaaaab:0xef7fe551fe13bd76!8m2!3d-6.9963!4d110.398!16s%2Fm%2F0hzppmc!19sChIJq6qq-kaLcC4Rdr0T_lHlf-8?authuser=0&hl=id&rclk=1,"4,50",Semarang,Budaya,35000,"Sam Poo Kong, Bongsari, Semarang Barat, Semarang City, Central Java 50148, Indonesia",Wisata Sam Poo Kong
Pagoda Avalokitesvara,https://www.google.com/maps/place/Pagoda+Avalokitesvara/data=!4m7!3m6!1s0x2e70893b6870aa0f:0xcde64a0584b6e2e5!8m2!3d-7.0868168!4d110.4091721!16s%2Fg%2F1hm2dmg_b!19sChIJD6pwaDuJcC4R5eK2hAVK5s0?authuser=0&hl=id&rclk=1,"4,70",Semarang,Budaya,0,"Yayasan Buddhagaya, Jl. Perintis Kemerdekaan, Pudakpayung, Kec. Banyumanik, Kota Semarang, Jawa Tengah 50265","Situs umat Buddha populer, dengan pagoda setinggi 45 m yang terkenal, dengan 7 tingkat berukir rumit."
Taman Wilis,https://www.google.com/maps/place/Taman+Wilis/data=!4m7!3m6!1s0x2e708b6343cd3a55:0x25cfec456bdfb553!8m2!3d-7.0047949!4d110.4213132!16s%2Fg%2F11gdvfn91h!19sChIJVTrNQ2OLcC4RU7Xfa0XszyU?authuser=0&hl=id&rclk=1,"4,50",Semarang,Healing,0,"Jl. Wilis No.3, Tegalsari, Kec. Candisari, Kota Semarang, Jawa Tengah 50614, Indonesia","Taman Wilis, Semarang"
Lawang Sewu Semarang,https://www.google.com/maps/place/Lawang+Sewu+Semarang/data=!4m7!3m6!1s0x2e708b4f19af0393:0x11304de4230ded0d!8m2!3d-6.9840907!4d110.4108019!16s%2Fm%2F0hr1j_3!19sChIJkwOvGU-LcC4RDe0NI-RNMBE?authuser=0&hl=id&rclk=1,"4,60",Semarang,Sejarah,20000,"Jl. Pemuda No.160, Sekayu, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50132, Indonesia",Lawang Sewu
Desa Wisata Lembah Kalipancur,https://www.google.com/maps/place/Desa+Wisata+Lembah+Kalipancur/data=!4m7!3m6!1s0x2e708a54554f3133:0x8be5da46441697d3!8m2!3d-7.0205245!4d110.3754605!16s%2Fg%2F12q4wry4h!19sChIJMzFPVVSKcC4R05cWREba5Ys?authuser=0&hl=id&rclk=1,"3,90",Semarang,Alam,4000,"X9HG+Q5W, Jl. Raya Kalipancur Manyaran, Kalipancur, Kec. Ngaliyan, Kota Semarang, Jawa Tengah 50183, Indonesia",Desa Wisata Lembah Kalipancur
